primary_accession	country	geo_loc	collection_year	host 	comment
AY330763	-	-	-	Genetta genetta	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AY330746	-	-	-	Genetta genetta	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OR640915	-	-	-	Genetta genetta	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ790020	-	-	-	Capra aegagrus hircus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ789997	-	-	-	Capra aegagrus hircus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ789993	-	-	-	Capra aegagrus hircus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ471319	-	-	-	Capra aegagrus hircus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
LC110320	-	-	-	Herpestes edwardsii	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
DQ194897	-	-	-	Xerus inauris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AY353994	-	-	-	Xerus inauris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX685267	-	-	-	Ursus thibetanus laniger	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
